Source path,Public URL,Primary intent,Title,Meta description,Canonical,Index status,Schema type,Priority
docs/tools/claude-code.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/claude-code.html,Claude Code guide,"Claude Code Guide: Setup, Commands, Security and Workflows","Terminal-first coding agent with strong repo reasoning, permissions, and MCP workflows. Learn setup, commands, limitations, security notes, and related workflows.",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/claude-code.html,index,TechArticle,Medium
docs/tools/openai-codex.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/openai-codex.html,OpenAI Codex guide,"OpenAI Codex Guide: Setup, Commands, Security and Workflows","OpenAI coding agent across CLI, IDE, desktop, web, and cloud workflows. Learn setup, commands, limitations, security notes, and related workflows.",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/openai-codex.html,index,TechArticle,Medium
docs/tools/cursor.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/cursor.html,Cursor guide,"Cursor Guide: Setup, Commands, Security and Workflows","AI-first editor and CLI workflow with rules, MCP, and agent-style automation. Learn setup, commands, limitations, security notes, and related workflows.",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/cursor.html,index,TechArticle,Medium
docs/tools/grok-xai.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/grok-xai.html,Grok / xAI guide,"Grok / xAI Guide: Setup, Commands, Security and Workflows","Coding model and API provider layer for host tools, not a documented first-party standalone coding CLI in the official developer docs reviewed here. Learn setup...",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/grok-xai.html,index,TechArticle,Medium
docs/tools/github-copilot.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/github-copilot.html,GitHub Copilot guide,"GitHub Copilot Guide: Setup, Commands, Security and Workflows","GitHub-native assistant spanning IDE, CLI, code review, and cloud-agent workflows. Learn setup, commands, limitations, security notes, and related workflows.",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/github-copilot.html,index,TechArticle,Medium
docs/tools/gemini-cli.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/gemini-cli.html,Gemini CLI guide,"Gemini CLI Guide: Setup, Commands, Security and Workflows","Terminal coding agent from Google with stable, preview, and nightly channels plus skills, sandboxing, and trust controls. Learn setup, commands, limitations, secu...",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/gemini-cli.html,index,TechArticle,Medium
docs/tools/windsurf.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/windsurf.html,Windsurf guide,"Windsurf Guide: Setup, Commands, Security and Workflows",AI IDE and agent platform whose current official docs now describe the local product as Devin Desktop while still using Windsurf in plugin and legacy paths. Learn...,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/windsurf.html,index,TechArticle,Medium
docs/tools/cline.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/cline.html,Cline guide,"Cline Guide: Setup, Commands, Security and Workflows","Model-agnostic coding agent across editor and terminal workflows with explicit approval and MCP control. Learn setup, commands, limitations, security notes, and r...",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/cline.html,index,TechArticle,Medium
docs/tools/roo-code.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/roo-code.html,Roo Code guide,"Roo Code Guide: Setup, Commands, Security and Workflows","Open-source VS Code coding agent with strong modes, provider flexibility, MCP support, and project-level instruction files. Learn setup, commands, limitations, se...",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/roo-code.html,index,TechArticle,Medium
docs/tools/aider.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/aider.html,Aider guide,"Aider Guide: Setup, Commands, Security and Workflows","Git-centric terminal pair-programming tool with explicit file scoping and strong in-chat command workflows. Learn setup, commands, limitations, security notes, an...",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/aider.html,index,TechArticle,Medium
docs/tools/continue.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/continue.html,Continue guide,"Continue Guide: Setup, Commands, Security and Workflows","Open-source coding agent across IDE extensions and the cn terminal CLI with shared model, rules, and tools configuration. Learn setup, commands, limitations, secu...",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/continue.html,index,TechArticle,Medium
docs/tools/opencode.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/opencode.html,OpenCode guide,"OpenCode Guide: Setup, Commands, Security and Workflows","Open-source coding agent across terminal, desktop, IDE, HTTP server, agents, tools, and MCP workflows. Learn setup, commands, limitations, security notes, and rel...",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/opencode.html,index,TechArticle,Medium
docs/configs/README.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/,Config Overview instructions,AI Repository Instruction Files and Configuration Guides,This section covers the files and config layers that make AI coding tools behave consistently across a team. Use copy-ready repository instructions and safer defa...,https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/,index,TechArticle,Medium
docs/configs/agents-md.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/agents-md.html,AGENTS.md guide,"AGENTS.md Guide: Examples, Templates and Best Practices for Coding Agents","Learn what AGENTS.md is, where to place it, how coding agents use it, and how to write repository instructions with examples and safe defaults.",https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/agents-md.html,index,TechArticle,High
docs/configs/claude-md.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/claude-md.html,CLAUDE.md guide,CLAUDE.md Guide: Examples and Repository Instructions for Claude Code,"Use CLAUDE.md to guide Claude Code with repository-specific commands, review rules, validation expectations, and safety constraints.",https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/claude-md.html,index,TechArticle,High
docs/configs/cursor-rules.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/cursor-rules.html,Cursor Rules instructions,Cursor Rules Guide and Best Practices for AI Coding Tools,Cursor's official docs describe four persistent instruction layers: Use copy-ready repository instructions and safer defaults for coding agents.,https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/cursor-rules.html,index,TechArticle,Medium
docs/configs/github-copilot-instructions.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/github-copilot-instructions.html,GitHub Copilot Instructions instructions,GitHub Copilot Instructions Guide and Best Practices for AI Coding Tools,GitHub's official docs confirm several instruction mechanisms for Copilot. The most important repository-level one is: Use copy-ready repository instructions and...,https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/github-copilot-instructions.html,index,TechArticle,Medium
docs/configs/mcp-configs.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/mcp-configs.html,MCP Configs instructions,MCP Configs Guide and Best Practices for AI Coding Tools,"Use MCP config to expose approved external tools and context to coding agents. Treat every MCP server as a capability expansion, not just a convenience toggle. Us...",https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/mcp-configs.html,index,TechArticle,Medium
docs/configs/editorconfig-and-ai.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/editorconfig-and-ai.html,EditorConfig and AI instructions,EditorConfig and AI Guide and Best Practices for AI Coding Tools,.editorconfig still matters in AI-heavy repositories because agents often imitate nearby formatting. A clear formatting baseline reduces noisy diffs and makes AI...,https://ankitparekh007.github.io/ai-tools-cheatsheets/configs/editorconfig-and-ai.html,index,TechArticle,Medium
docs/workflows/README.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/,Workflow Overview workflow,"AI Coding Workflows for Review, Testing and Debugging","Workflow pages turn common engineering tasks into repeatable AI-assisted operating patterns. Follow validation steps, review checkpoints, and practical prompts fo...",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/,index,TechArticle,Medium
docs/workflows/code-review.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/code-review.html,AI code review workflow,AI Code Review Workflow: Findings-First Review for Coding Agents,"Use AI coding tools for safer pull-request reviews with severity-based findings, validation commands, human review checkpoints, and smaller fixes.",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/code-review.html,index,TechArticle,High
docs/workflows/bug-fixing.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/bug-fixing.html,AI bug fixing workflow,"AI Bug Fixing Workflow: Reproduce, Patch and Validate Safely","Move from bug symptom to root cause, smallest safe fix, regression test, and rollback plan with AI coding tools and human review checkpoints.",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/bug-fixing.html,index,TechArticle,High
docs/workflows/feature-development.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/feature-development.html,Feature Development workflow,Feature Development Workflow for AI Coding Tools,"Use this workflow when an AI assistant helps with a scoped feature that still needs human-owned requirements and acceptance criteria. Follow validation steps, rev...",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/feature-development.html,index,TechArticle,Medium
docs/workflows/test-generation.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/test-generation.html,AI test generation,AI Test Generation Workflow for Safer Regression Coverage,"Generate focused tests with AI coding tools by following local conventions, minimizing mock sprawl, and validating only the behavior that matters.",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/test-generation.html,index,TechArticle,High
docs/workflows/refactoring.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/refactoring.html,Refactoring workflow,Refactoring Workflow for AI Coding Tools,"Use this workflow for non-behavioral code cleanup where the main risk is accidental regression. Follow validation steps, review checkpoints, and practical prompts...",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/refactoring.html,index,TechArticle,Medium
docs/workflows/documentation-generation.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/documentation-generation.html,Documentation Generation workflow,Documentation Generation Workflow for AI Coding Tools,"Use this workflow when the agent should update docs from code reality instead of drafting generic prose. Follow validation steps, review checkpoints, and practica...",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/documentation-generation.html,index,TechArticle,Medium
docs/workflows/migration-upgrade.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/migration-upgrade.html,Migration and Upgrade workflow,Migration and Upgrade Workflow for AI Coding Tools,"Use this workflow for dependency, platform, or service migrations that need phased change control. Follow validation steps, review checkpoints, and practical prom...",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/migration-upgrade.html,index,TechArticle,Medium
docs/workflows/ci-cd-automation.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/ci-cd-automation.html,CI/CD Automation workflow,CI/CD Automation Workflow for AI Coding Tools,"Use this workflow when a CI or deployment job fails and you want the agent to help analyze logs without blindly rerunning pipelines. Follow validation steps, revi...",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/ci-cd-automation.html,index,TechArticle,Medium
docs/workflows/pr-creation.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/pr-creation.html,PR Creation workflow,PR Creation Workflow for AI Coding Tools,"Use this workflow when an AI assistant helps turn validated local changes into a reviewable pull request. Follow validation steps, review checkpoints, and practic...",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/pr-creation.html,index,TechArticle,Medium
docs/workflows/release-notes.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/release-notes.html,Release Notes workflow,Release Notes Workflow for AI Coding Tools,"Use this workflow to turn commits into accurate release notes without overstating maturity. Follow validation steps, review checkpoints, and practical prompts for...",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/release-notes.html,index,TechArticle,Medium
docs/workflows/security-review.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/security-review.html,Security Review workflow,Security Review Workflow for AI Coding Tools,"Use this workflow when a change touches permissions, secrets, auth, data movement, MCP access, or destructive commands. Follow validation steps, review checkpoint...",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/security-review.html,index,TechArticle,Medium
docs/workflows/angular-workflows.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/angular-workflows.html,AI Angular workflow,AI Angular Upgrade Workflow for Existing Repositories,"Plan Angular upgrades with phased dependency review, validation gates, rollback points, and AI-assisted implementation that stays reviewable.",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/angular-workflows.html,index,TechArticle,High
docs/workflows/java-spring-workflows.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/java-spring-workflows.html,Java Spring Workflows workflow,Java Spring Workflows Workflow for AI Coding Tools,"Use this page to adapt the core workflows to Java and Spring repositories where dependency injection, transactional boundaries, and integration tests matter. Foll...",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/java-spring-workflows.html,index,TechArticle,Medium
docs/workflows/fullstack-workflows.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/fullstack-workflows.html,Fullstack Workflows workflow,Fullstack Workflows Workflow for AI Coding Tools,"Use this page when a change spans frontend, backend, API contracts, data, and deployment concerns. Follow validation steps, review checkpoints, and practical prom...",https://ankitparekh007.github.io/ai-tools-cheatsheets/workflows/fullstack-workflows.html,index,TechArticle,Medium
docs/mcp/README.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/,MCP Overview MCP guidance,"MCP Guides for Developers, Teams and Security Reviewers","This section treats MCP servers as privileged integrations, not lightweight plugins. Review permissions, least-privilege setup, and team approval guidance before...",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/,index,TechArticle,Medium
docs/mcp/overview.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/overview.html,Model Context Protocol explanation,What Is MCP? Model Context Protocol for Developers and Teams,"Understand the Model Context Protocol, why MCP servers are powerful, and how to evaluate risk, permissions, and least-privilege setup before adoption.",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/overview.html,index,TechArticle,High
docs/mcp/useful-mcp-servers.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/useful-mcp-servers.html,best MCP servers,Best MCP Server Categories for Software Development,"Prioritize GitHub, filesystem, browser, database, and collaboration MCP categories with a practical view of value, risk, and team approval needs.",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/useful-mcp-servers.html,index,Article,High
docs/mcp/github-mcp.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/github-mcp.html,GitHub MCP server,"GitHub MCP Guide: Permissions, Risks and Evaluation Checklist","Evaluate GitHub MCP servers for pull requests, issues, repositories, and review workflows with read-only trials, approval questions, and revocation guidance.",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/github-mcp.html,index,TechArticle,High
docs/mcp/jira-mcp.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/jira-mcp.html,Jira MCP MCP guidance,"Jira MCP: MCP Guide, Security and Evaluation","- search issues - read fields, comments, and statuses - create or update work items - transition workflows or add comments Review permissions, least-privilege set...",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/jira-mcp.html,index,TechArticle,Medium
docs/mcp/bitbucket-mcp.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/bitbucket-mcp.html,Bitbucket MCP MCP guidance,"Bitbucket MCP: MCP Guide, Security and Evaluation","- read repositories and pull requests - inspect branches, commits, and comments - optionally write comments or create pull requests Review permissions, least-priv...",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/bitbucket-mcp.html,index,TechArticle,Medium
docs/mcp/browser-playwright-mcp.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/browser-playwright-mcp.html,Browser / Playwright MCP MCP guidance,"Browser / Playwright MCP: MCP Guide, Security and Evaluation","- open pages - click, type, and submit forms - capture screenshots - inspect DOM or console state Review permissions, least-privilege setup, and team approval gui...",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/browser-playwright-mcp.html,index,TechArticle,Medium
docs/mcp/figma-mcp.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/figma-mcp.html,Figma MCP MCP guidance,"Figma MCP: MCP Guide, Security and Evaluation","- inspect files, nodes, and comments - extract design metadata - support implementation handoff Review permissions, least-privilege setup, and team approval guida...",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/figma-mcp.html,index,TechArticle,Medium
docs/mcp/filesystem-mcp.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/filesystem-mcp.html,Filesystem MCP MCP guidance,"Filesystem MCP: MCP Guide, Security and Evaluation","- read files and directories - search repository contents - sometimes write, rename, move, or delete files Review permissions, least-privilege setup, and team app...",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/filesystem-mcp.html,index,TechArticle,Medium
docs/mcp/database-mcp.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/database-mcp.html,Database MCP MCP guidance,"Database MCP: MCP Guide, Security and Evaluation","- inspect schemas and tables - run read queries - sometimes run write or administrative statements Review permissions, least-privilege setup, and team approval gu...",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/database-mcp.html,index,TechArticle,Medium
docs/mcp/supabase-postgres-mcp.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/supabase-postgres-mcp.html,Supabase / Postgres MCP MCP guidance,"Supabase / Postgres MCP: MCP Guide, Security and Evaluation","- inspect schemas and migrations - run read queries - review policies or indexes - sometimes write rows or execute DDL Review permissions, least-privilege setup...",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/supabase-postgres-mcp.html,index,TechArticle,Medium
docs/mcp/slack-teams-mcp.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/slack-teams-mcp.html,Slack / Teams MCP MCP guidance,"Slack / Teams MCP: MCP Guide, Security and Evaluation","- read channels or threads - post messages or replies - search discussion context - optionally access files, mentions, or user metadata Review permissions, least-...",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/slack-teams-mcp.html,index,TechArticle,Medium
docs/mcp/security-mcp.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/security-mcp.html,Security MCP MCP guidance,"Security MCP: MCP Guide, Security and Evaluation","- code scanning - secret detection - dependency or policy checks - incident or finding triage Review permissions, least-privilege setup, and team approval guidanc...",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/security-mcp.html,index,TechArticle,Medium
docs/mcp/custom-mcp-template.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/custom-mcp-template.html,Custom MCP Template MCP guidance,"Custom MCP Template: MCP Guide, Security and Evaluation","- internal server proposals - third-party MCP pilots - approval records for security or platform review Review permissions, least-privilege setup, and team approv...",https://ankitparekh007.github.io/ai-tools-cheatsheets/mcp/custom-mcp-template.html,index,TechArticle,Medium
docs/prompts/README.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/,Prompt Library prompt,AI Coding Prompt Library for Developers and Teams,"This section separates short prompt starters from longer master prompts that teams can standardize. Use prompt starters, examples, and human review guidance for d...",https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/,index,TechArticle,Medium
docs/prompts/master-prompts.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/master-prompts.html,Master Prompts prompt,Master Prompts: AI Coding Prompt Starters and Examples,"Use these when the task is important enough that the prompt should define objective, constraints, output format, and validation expectations. Use prompt starters...",https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/master-prompts.html,index,TechArticle,Medium
docs/prompts/claude-code-prompts.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/claude-code-prompts.html,Claude Code Prompts prompt,Claude Code Prompts: AI Coding Prompt Starters and Examples,"Use these prompt starters when working in a repo-aware terminal agent surface. Use prompt starters, examples, and human review guidance for daily AI coding work.",https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/claude-code-prompts.html,index,TechArticle,Medium
docs/prompts/codex-prompts.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/codex-prompts.html,Codex Prompts prompt,Codex Prompts: AI Coding Prompt Starters and Examples,"Use these prompt starters for plan-first repo work in Codex or a similar coding-agent surface. Use prompt starters, examples, and human review guidance for daily...",https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/codex-prompts.html,index,TechArticle,Medium
docs/prompts/cursor-prompts.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/cursor-prompts.html,Cursor Prompts prompt,Cursor Prompts: AI Coding Prompt Starters and Examples,"Use these starters for IDE-local code or doc work where file selection and diff review matter. Use prompt starters, examples, and human review guidance for daily...",https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/cursor-prompts.html,index,TechArticle,Medium
docs/prompts/copilot-prompts.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/copilot-prompts.html,Copilot Prompts prompt,Copilot Prompts: AI Coding Prompt Starters and Examples,"Use these starters when Copilot is helping inside GitHub or an IDE and you want clearer review or customization outcomes. Use prompt starters, examples, and human...",https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/copilot-prompts.html,index,TechArticle,Medium
docs/prompts/grok-prompts.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/grok-prompts.html,Grok Prompts prompt,Grok Prompts: AI Coding Prompt Starters and Examples,"Use these starters when the tool is acting more like a research or comparison assistant than a full repo executor. Use prompt starters, examples, and human review...",https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/grok-prompts.html,index,TechArticle,Medium
docs/prompts/review-prompts.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/review-prompts.html,Review Prompts prompt,Review Prompts: AI Coding Prompt Starters and Examples,"Use these starters when the main goal is findings-first code or docs review. Use prompt starters, examples, and human review guidance for daily AI coding work.",https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/review-prompts.html,index,TechArticle,Medium
docs/prompts/testing-prompts.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/testing-prompts.html,Testing Prompts prompt,Testing Prompts: AI Coding Prompt Starters and Examples,"Use these starters to add focused tests or tighten validation without widening the production patch. Use prompt starters, examples, and human review guidance for...",https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/testing-prompts.html,index,TechArticle,Medium
docs/prompts/refactoring-prompts.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/refactoring-prompts.html,Refactoring Prompts prompt,Refactoring Prompts: AI Coding Prompt Starters and Examples,"Use these starters for structural cleanup where behavior must remain unchanged. Use prompt starters, examples, and human review guidance for daily AI coding work.",https://ankitparekh007.github.io/ai-tools-cheatsheets/prompts/refactoring-prompts.html,index,TechArticle,Medium
